名称,描述,时间,地点
故宫太和殿龙椅,扶手处镶嵌白玉龙头，象征"龙御四海",明朝,北京
都江堰内江闸,战国时期水利工程，通过叠梁闸门调节水量，确保成都平原灌溉,战国时期,四川成都
赵州桥石料加工,工匠使用铁楔子敲打石材，表面打磨光滑如镜，接缝严密,隋朝,河北赵县
应县木塔斗拱体系,由10734个斗拱构件组成，形成独特的力学结构,辽代,山西应县
苏州狮子林假山群,运用"瘦、皱、漏、透"四法堆砌，形成独特地貌景观,元朝,江苏苏州
南京明孝陵神道石像生,包括麒麟、獬豸、骆驼等动物石像，间距相等，象征皇权威严,明朝,江苏南京
布达拉宫红宫佛堂,供奉历代达赖喇嘛灵塔，塔身镶嵌各种宝石，工艺精湛,清朝,西藏拉萨
故宫中和殿宝座,金丝楠木雕刻，表面贴金箔，象征皇帝至高无上权力,明朝,北京
都江堰鱼嘴分水处,战国时期创建的水利枢纽，至今仍精准调控岷江水流,战国时期,四川成都
赵州桥基础深度,桥墩下挖至河床稳定层，深度达4-6米，防止冲刷,隋朝,河北赵县
应县木塔抗震设计,底层柱子最粗，向上逐层收缩，形成"减震弹簧"效应,辽代,山西应县
苏州拙政园远香堂,夏日荷花盛开，香气四溢，取"香远益清"之意命名,明朝,江苏苏州
北京天坛祈年殿,三层汉白玉圆台，象征"天圆地方"，鎏金宝顶在阳光下闪耀,明朝至清朝,北京
秦始皇陵地宫,据记载采用"黄肠题凑"椁室，木头向中心排列，结构独特,秦朝,陕西西安
布达拉宫白宫,五世达赖喇嘛修建的行政中心，墙面装饰华丽，保存大量文物,清朝,西藏拉萨
故宫文渊阁,清代皇家藏书楼，仿宁波天一阁设计，防火防潮措施完善,清朝,北京
都江堰外江闸,清代改建的石砌闸门，配备铁链控制水位，提高灌溉效率,清朝,四川成都
赵州桥路面铺装,青石板与铁锭镶嵌，既防滑又增加桥面强度,隋朝,河北赵县
应县木塔防腐处理,木材经过桐油、蜂蜡等多道工序处理，延缓腐朽速度,辽代,山西应县
苏州网师园殿春簠,春季赏花的主题庭院，种植芍药、牡丹等花卉,清朝,江苏苏州
南京中山陵祭堂,圆形建筑象征天圆，孙中山铜像居中，气氛庄肃穆,民国时期,江苏南京
北京正阳门箭楼,清代重建的城楼，设有瞭望孔与射箭窗，防御功能完善,清朝,北京
秦始皇陵兵马俑阵列,按军阵排列的陶俑群，包含将军俑、车马俑等不同兵种,秦朝,陕西西安
布达拉宫金顶建筑,采用鎏金铜瓦与孔雀石屋面，阳光照射下色彩绚丽,清朝,西藏拉萨
故宫太和殿藻井金龙,木雕龙纹环绕中央铜镜，象征皇帝为"真龙天子",明朝,北京
都江堰内江闸,战国时期建造的节制闸，通过叠梁闸门调节水量，确保成都平原灌溉,战国时期,四川成都
赵州桥石料来源,采自当地汶川县红花岗岩，质地坚硬耐风化，运输距离约50公里,隋朝,河北赵县
应县木塔斗拱承重,每层斗拱可承受2000公斤重量，整体结构稳定可靠,辽代,山西应局
